CustomerId,Amount,InterestRate
151,400384.67,4.1
152,400385.67,5.1
153,400386.67,2.1
154,400387.67,3.1
155,400388.67,4.1
156,400389.67,5.1
157,400390.67,2.1
158,400391.67,3.1
159,400392.67,4.1
160,400393.67,5.1
161,400394.67,2.1
162,400395.67,3.1
163,400396.67,4.1
164,400397.67,5.1
165,400398.67,2.1
166,400399.67,3.1
167,400400.67,4.1
168,400401.67,5.1
169,400402.67,2.1
170,400403.67,3.1
171,400404.67,4.1
172,400405.67,5.1
173,400406.67,2.1
174,400407.67,3.1
175,400408.67,4.1
176,400409.67,5.1
177,400410.67,2.1
178,400411.67,3.1
179,400412.67,4.1
180,400413.67,5.1
181,400414.67,2.1
182,400415.67,3.1
183,400416.67,4.1
184,400417.67,5.1
185,400418.67,2.1
186,400419.67,3.1
187,400420.67,4.1
188,400421.67,5.1
189,400422.67,2.1
190,400423.67,3.1
191,400424.67,4.1
192,400425.67,5.1
193,400426.67,2.1
194,400427.67,3.1
195,400428.67,4.1
196,400429.67,5.1
197,400430.67,2.1
198,400431.67,3.1
199,400432.67,4.1
200,400433.67,5.1
201,400434.67,2.1
202,400435.67,3.1
203,400436.67,4.1
204,400437.67,5.1
205,400438.67,2.1
206,400439.67,3.1
207,400440.67,4.1
208,400441.67,5.1
209,400442.67,2.1
210,400443.67,3.1
211,400444.67,4.1
212,400445.67,5.1
213,400446.67,2.1
214,400447.67,3.1
215,400448.67,4.1
216,400449.67,5.1
217,400450.67,2.1
218,400451.67,3.1
219,400452.67,4.1
220,400453.67,5.1
221,400454.67,2.1
222,400455.67,3.1
223,400456.67,4.1
224,400457.67,5.1
225,400458.67,2.1
226,400459.67,3.1
227,400460.67,4.1
228,400461.67,5.1
229,400462.67,2.1
230,400463.67,3.1
231,400464.67,4.1
232,400465.67,5.1
233,400466.67,2.1
234,400467.67,3.1
235,400468.67,4.1
236,400469.67,5.1
237,400470.67,2.1
238,400471.67,3.1
239,400472.67,4.1
240,400473.67,5.1
241,400474.67,2.1
242,400475.67,3.1
243,400476.67,4.1
244,400477.67,5.1
245,400478.67,2.1
246,400479.67,3.1
247,400480.67,4.1
248,400481.67,5.1
249,400482.67,2.1
250,400483.67,3.1
251,400484.67,4.1
252,400485.67,5.1
253,400486.67,2.1
254,400487.67,3.1
255,400488.67,4.1
256,400489.67,5.1
257,400490.67,2.1
258,400491.67,3.1
259,400492.67,4.1
260,400493.67,5.1
261,400494.67,2.1
262,400495.67,3.1
263,400496.67,4.1
264,400497.67,5.1
265,400498.67,2.1
266,400499.67,3.1
267,400500.67,4.1
268,400501.67,5.1
269,400502.67,2.1
270,400503.67,3.1
271,400504.67,4.1
272,400505.67,5.1
273,400506.67,2.1
274,400507.67,3.1
275,400508.67,4.1
276,400509.67,5.1
277,400510.67,2.1
278,400511.67,3.1
279,400512.67,4.1
280,400513.67,5.1
281,400514.67,2.1
282,400515.67,3.1
283,400516.67,4.1
284,400517.67,5.1
285,400518.67,2.1
286,400519.67,3.1
287,400520.67,4.1
288,400521.67,5.1
289,400522.67,2.1
290,400523.67,3.1
291,400524.67,4.1
292,400525.67,5.1
293,400526.67,2.1
294,400527.67,3.1
295,400528.67,4.1
296,400529.67,5.1
297,400530.67,2.1
298,400531.67,3.1
299,400532.67,4.1
300,400533.67,5.1
301,400534.67,2.1
302,400535.67,3.1
303,400536.67,4.1
304,400537.67,5.1
305,400538.67,2.1
306,400539.67,3.1
307,400540.67,4.1
308,400541.67,5.1
309,400542.67,2.1
310,400543.67,3.1
311,400544.67,4.1
312,400545.67,5.1
313,400546.67,2.1
314,400547.67,3.1
315,400548.67,4.1
316,400549.67,5.1
317,400550.67,2.1
318,400551.67,3.1
319,400552.67,4.1
320,400553.67,5.1
321,400554.67,2.1
322,400555.67,3.1
323,400556.67,4.1
324,400557.67,5.1
325,400558.67,2.1
326,400559.67,3.1
327,400560.67,4.1
328,400561.67,5.1
329,400562.67,2.1
330,400563.67,3.1
331,400564.67,4.1
332,400565.67,5.1
333,400566.67,2.1
334,400567.67,3.1
335,400568.67,4.1
336,400569.67,5.1
337,400570.67,2.1
338,400571.67,3.1
339,400572.67,4.1
340,400573.67,5.1
341,400574.67,2.1
342,400575.67,3.1
343,400576.67,4.1
344,400577.67,5.1
345,400578.67,2.1
346,400579.67,3.1
347,400580.67,4.1
348,400581.67,5.1
349,400582.67,2.1
350,400583.67,3.1
351,400584.67,4.1
352,400585.67,5.1
353,400586.67,2.1
354,400587.67,3.1
355,400588.67,4.1
356,400589.67,5.1
357,400590.67,2.1
358,400591.67,3.1
359,400592.67,4.1
360,400593.67,5.1
361,400594.67,2.1
362,400595.67,3.1
363,400596.67,4.1
364,400597.67,5.1
365,400598.67,2.1
366,400599.67,3.1
367,400600.67,4.1
368,400601.67,5.1
369,400602.67,2.1
370,400603.67,3.1
371,400604.67,4.1
372,400605.67,5.1
373,400606.67,2.1
374,400607.67,3.1
375,400608.67,4.1
376,400609.67,5.1
377,400610.67,2.1
378,400611.67,3.1
379,400612.67,4.1
380,400613.67,5.1
381,400614.67,2.1
382,400615.67,3.1
383,400616.67,4.1
384,400617.67,5.1
385,400618.67,2.1
386,400619.67,3.1
387,400620.67,4.1
388,400621.67,5.1
389,400622.67,2.1
390,400623.67,3.1
391,400624.67,4.1
392,400625.67,5.1
393,400626.67,2.1
394,400627.67,3.1
395,400628.67,4.1
396,400629.67,5.1
397,400630.67,2.1
398,400631.67,3.1
399,400632.67,4.1
400,400633.67,5.1
401,400634.67,2.1
402,400635.67,3.1
403,400636.67,4.1
404,400637.67,5.1
405,400638.67,2.1
406,400639.67,3.1
407,400640.67,4.1
408,400641.67,5.1
409,400642.67,2.1
410,400643.67,3.1
411,400644.67,4.1
412,400645.67,5.1
413,400646.67,2.1
414,400647.67,3.1
415,400648.67,4.1
416,400649.67,5.1
417,400650.67,2.1
418,400651.67,3.1
419,400652.67,4.1
420,400653.67,5.1
421,400654.67,2.1
422,400655.67,3.1
423,400656.67,4.1
424,400657.67,5.1
425,400658.67,2.1
426,400659.67,3.1
427,400660.67,4.1
428,400661.67,5.1
429,400662.67,2.1
430,400663.67,3.1
431,400664.67,4.1
432,400665.67,5.1
433,400666.67,2.1
434,400667.67,3.1
435,400668.67,4.1
436,400669.67,5.1
437,400670.67,2.1
438,400671.67,3.1
439,400672.67,4.1
440,400673.67,5.1
441,400674.67,2.1
442,400675.67,3.1
443,400676.67,4.1
444,400677.67,5.1
445,400678.67,2.1
446,400679.67,3.1
447,400680.67,4.1
448,400681.67,5.1
449,400682.67,2.1
450,400683.67,3.1
451,400684.67,4.1
452,400685.67,5.1
453,400686.67,2.1
454,400687.67,3.1
455,400688.67,4.1
456,400689.67,5.1
457,400690.67,2.1
458,400691.67,3.1
459,400692.67,4.1
460,400693.67,5.1
461,400694.67,2.1
462,400695.67,3.1
463,400696.67,4.1
464,400697.67,5.1
465,400698.67,2.1
466,400699.67,3.1
467,400700.67,4.1
468,400701.67,5.1
469,400702.67,2.1
470,400703.67,3.1
471,400704.67,4.1
472,400705.67,5.1
473,400706.67,2.1
474,400707.67,3.1
475,400708.67,4.1
476,400709.67,5.1
477,400710.67,2.1
478,400711.67,3.1
479,400712.67,4.1
480,400713.67,5.1
481,400714.67,2.1
482,400715.67,3.1
483,400716.67,4.1
484,400717.67,5.1
485,400718.67,2.1
486,400719.67,3.1
487,400720.67,4.1
488,400721.67,5.1
489,400722.67,2.1
490,400723.67,3.1
491,400724.67,4.1
492,400725.67,5.1
493,400726.67,2.1
494,400727.67,3.1
495,400728.67,4.1
496,400729.67,5.1
497,400730.67,2.1
498,400731.67,3.1
499,400732.67,4.1
500,400733.67,5.1
501,400734.67,2.1
502,400735.67,3.1
503,400736.67,4.1
504,400737.67,5.1
505,400738.67,2.1
506,400739.67,3.1
507,400740.67,4.1
508,400741.67,5.1
509,400742.67,2.1
510,400743.67,3.1
511,400744.67,4.1
512,400745.67,5.1
513,400746.67,2.1
514,400747.67,3.1
515,400748.67,4.1
516,400749.67,5.1
517,400750.67,2.1
518,400751.67,3.1
519,400752.67,4.1
520,400753.67,5.1
521,400754.67,2.1
522,400755.67,3.1
523,400756.67,4.1
524,400757.67,5.1
525,400758.67,2.1
526,400759.67,3.1
527,400760.67,4.1
528,400761.67,5.1
529,400762.67,2.1
530,400763.67,3.1
531,400764.67,4.1
532,400765.67,5.1
533,400766.67,2.1
534,400767.67,3.1
535,400768.67,4.1
536,400769.67,5.1
537,400770.67,2.1
538,400771.67,3.1
539,400772.67,4.1
540,400773.67,5.1
541,400774.67,2.1
542,400775.67,3.1
543,400776.67,4.1
544,400777.67,5.1
545,400778.67,2.1
546,400779.67,3.1
547,400780.67,4.1
548,400781.67,5.1
549,400782.67,2.1
550,400783.67,3.1
551,400784.67,4.1
552,400785.67,5.1
553,400786.67,2.1
554,400787.67,3.1
555,400788.67,4.1
556,400789.67,5.1
557,400790.67,2.1
558,400791.67,3.1
559,400792.67,4.1
560,400793.67,5.1
561,400794.67,2.1
562,400795.67,3.1
563,400796.67,4.1
564,400797.67,5.1
565,400798.67,2.1
566,400799.67,3.1
567,400800.67,4.1
568,400801.67,5.1
569,400802.67,2.1
570,400803.67,3.1
571,400804.67,4.1
572,400805.67,5.1
573,400806.67,2.1
574,400807.67,3.1
575,400808.67,4.1
576,400809.67,5.1
577,400810.67,2.1
578,400811.67,3.1
579,400812.67,4.1
580,400813.67,5.1
581,400814.67,2.1
582,400815.67,3.1
583,400816.67,4.1
584,400817.67,5.1
585,400818.67,2.1
586,400819.67,3.1
587,400820.67,4.1
588,400821.67,5.1
589,400822.67,2.1
590,400823.67,3.1
591,400824.67,4.1
592,400825.67,5.1
593,400826.67,2.1
594,400827.67,3.1
595,400828.67,4.1
596,400829.67,5.1
597,400830.67,2.1
598,400831.67,3.1
599,400832.67,4.1
600,400833.67,5.1
601,400834.67,2.1
602,400835.67,3.1
603,400836.67,4.1
604,400837.67,5.1
605,400838.67,2.1
606,400839.67,3.1
607,400840.67,4.1
608,400841.67,5.1
609,400842.67,2.1
610,400843.67,3.1
611,400844.67,4.1
612,400845.67,5.1
613,400846.67,2.1
614,400847.67,3.1
615,400848.67,4.1
616,400849.67,5.1
617,400850.67,2.1
618,400851.67,3.1
619,400852.67,4.1
620,400853.67,5.1
621,400854.67,2.1
622,400855.67,3.1
623,400856.67,4.1
624,400857.67,5.1
625,400858.67,2.1
626,400859.67,3.1
627,400860.67,4.1
628,400861.67,5.1
629,400862.67,2.1
630,400863.67,3.1
631,400864.67,4.1
632,400865.67,5.1
633,400866.67,2.1
634,400867.67,3.1
635,400868.67,4.1
636,400869.67,5.1
637,400870.67,2.1
638,400871.67,3.1
639,400872.67,4.1
640,400873.67,5.1
641,400874.67,2.1
642,400875.67,3.1
643,400876.67,4.1
644,400877.67,5.1
645,400878.67,2.1
646,400879.67,3.1
647,400880.67,4.1
648,400881.67,5.1
649,400882.67,2.1
650,400883.67,3.1
651,400884.67,4.1
652,400885.67,5.1
653,400886.67,2.1
654,400887.67,3.1
655,400888.67,4.1
656,400889.67,5.1
657,400890.67,2.1
658,400891.67,3.1
659,400892.67,4.1
660,400893.67,5.1
661,400894.67,2.1
662,400895.67,3.1
663,400896.67,4.1
664,400897.67,5.1
665,400898.67,2.1
666,400899.67,3.1
667,400900.67,4.1
668,400901.67,5.1
669,400902.67,2.1
670,400903.67,3.1
671,400904.67,4.1
672,400905.67,5.1
673,400906.67,2.1
674,400907.67,3.1
675,400908.67,4.1
676,400909.67,5.1
677,400910.67,2.1
678,400911.67,3.1
679,400912.67,4.1
680,400913.67,5.1
681,400914.67,2.1
682,400915.67,3.1
683,400916.67,4.1
684,400917.67,5.1
685,400918.67,2.1
686,400919.67,3.1
687,400920.67,4.1
688,400921.67,5.1
689,400922.67,2.1
690,400923.67,3.1
691,400924.67,4.1
692,400925.67,5.1
693,400926.67,2.1
694,400927.67,3.1
695,400928.67,4.1
696,400929.67,5.1
697,400930.67,2.1
698,400931.67,3.1
699,400932.67,4.1
700,400933.67,5.1
701,400934.67,2.1
702,400935.67,3.1
703,400936.67,4.1
704,400937.67,5.1
705,400938.67,2.1
706,400939.67,3.1
707,400940.67,4.1
708,400941.67,5.1
709,400942.67,2.1
710,400943.67,3.1
711,400944.67,4.1
712,400945.67,5.1
713,400946.67,2.1
714,400947.67,3.1
715,400948.67,4.1
716,400949.67,5.1
717,400950.67,2.1
718,400951.67,3.1
719,400952.67,4.1
720,400953.67,5.1
721,400954.67,2.1
722,400955.67,3.1
723,400956.67,4.1
724,400957.67,5.1
725,400958.67,2.1
726,400959.67,3.1
727,400960.67,4.1
728,400961.67,5.1
729,400962.67,2.1
730,400963.67,3.1
731,400964.67,4.1
732,400965.67,5.1
733,400966.67,2.1
734,400967.67,3.1
735,400968.67,4.1
736,400969.67,5.1
737,400970.67,2.1
738,400971.67,3.1
739,400972.67,4.1
740,400973.67,5.1
741,400974.67,2.1
742,400975.67,3.1
743,400976.67,4.1
744,400977.67,5.1
745,400978.67,2.1
746,400979.67,3.1
747,400980.67,4.1
748,400981.67,5.1
749,400982.67,2.1
750,400983.67,3.1
751,400984.67,4.1
752,400985.67,5.1
753,400986.67,2.1
754,400987.67,3.1
755,400988.67,4.1
756,400989.67,5.1
757,400990.67,2.1
758,400991.67,3.1
759,400992.67,4.1
760,400993.67,5.1
761,400994.67,2.1
762,400995.67,3.1
763,400996.67,4.1
764,400997.67,5.1
765,400998.67,2.1
766,400999.67,3.1
767,401000.67,4.1
768,401001.67,5.1
769,401002.67,2.1
770,401003.67,3.1
771,401004.67,4.1
772,401005.67,5.1
773,401006.67,2.1
774,401007.67,3.1
775,401008.67,4.1
776,401009.67,5.1
777,401010.67,2.1
778,401011.67,3.1
779,401012.67,4.1
780,401013.67,5.1
781,401014.67,2.1
782,401015.67,3.1
783,401016.67,4.1
784,401017.67,5.1
785,401018.67,2.1
786,401019.67,3.1
787,401020.67,4.1
788,401021.67,5.1
789,401022.67,2.1
790,401023.67,3.1
791,401024.67,4.1
792,401025.67,5.1
793,401026.67,2.1
794,401027.67,3.1
795,401028.67,4.1
796,401029.67,5.1
797,401030.67,2.1
798,401031.67,3.1
799,401032.67,4.1
800,401033.67,5.1
801,401034.67,2.1
802,401035.67,3.1
803,401036.67,4.1
804,401037.67,5.1
805,401038.67,2.1
806,401039.67,3.1
807,401040.67,4.1
808,401041.67,5.1
809,401042.67,2.1
810,401043.67,3.1
811,401044.67,4.1
812,401045.67,5.1
813,401046.67,2.1
814,401047.67,3.1
815,401048.67,4.1
816,401049.67,5.1
817,401050.67,2.1
818,401051.67,3.1
819,401052.67,4.1
820,401053.67,5.1
821,401054.67,2.1
822,401055.67,3.1
823,401056.67,4.1
824,401057.67,5.1
825,401058.67,2.1
826,401059.67,3.1
827,401060.67,4.1
828,401061.67,5.1
829,401062.67,2.1
830,401063.67,3.1
831,401064.67,4.1
832,401065.67,5.1
833,401066.67,2.1
834,401067.67,3.1
835,401068.67,4.1
836,401069.67,5.1
837,401070.67,2.1
838,401071.67,3.1
839,401072.67,4.1
840,401073.67,5.1
841,401074.67,2.1
842,401075.67,3.1
843,401076.67,4.1
844,401077.67,5.1
845,401078.67,2.1
846,401079.67,3.1
847,401080.67,4.1
848,401081.67,5.1
849,401082.67,2.1
850,401083.67,3.1
851,401084.67,4.1
852,401085.67,5.1
853,401086.67,2.1
854,401087.67,3.1
855,401088.67,4.1
856,401089.67,5.1
857,401090.67,2.1
858,401091.67,3.1
859,401092.67,4.1
860,401093.67,5.1
861,401094.67,2.1
862,401095.67,3.1
863,401096.67,4.1
864,401097.67,5.1
865,401098.67,2.1
866,401099.67,3.1
867,401100.67,4.1
868,401101.67,5.1
869,401102.67,2.1
870,401103.67,3.1
871,401104.67,4.1
872,401105.67,5.1
873,401106.67,2.1
874,401107.67,3.1
875,401108.67,4.1
876,401109.67,5.1
877,401110.67,2.1
878,401111.67,3.1
879,401112.67,4.1
880,401113.67,5.1
881,401114.67,2.1
882,401115.67,3.1
883,401116.67,4.1
884,401117.67,5.1
885,401118.67,2.1
886,401119.67,3.1
887,401120.67,4.1
888,401121.67,5.1
889,401122.67,2.1
890,401123.67,3.1
891,401124.67,4.1
892,401125.67,5.1
893,401126.67,2.1
894,401127.67,3.1
895,401128.67,4.1
896,401129.67,5.1
897,401130.67,2.1
898,401131.67,3.1
899,401132.67,4.1
900,401133.67,5.1
901,401134.67,2.1
902,401135.67,3.1
903,401136.67,4.1
904,401137.67,5.1
905,401138.67,2.1
906,401139.67,3.1
907,401140.67,4.1
908,401141.67,5.1
909,401142.67,2.1
910,401143.67,3.1
911,401144.67,4.1
912,401145.67,5.1
913,401146.67,2.1
914,401147.67,3.1
915,401148.67,4.1
916,401149.67,5.1
917,401150.67,2.1
918,401151.67,3.1
919,401152.67,4.1
920,401153.67,5.1
921,401154.67,2.1
922,401155.67,3.1
923,401156.67,4.1
924,401157.67,5.1
925,401158.67,2.1
926,401159.67,3.1
927,401160.67,4.1
928,401161.67,5.1
929,401162.67,2.1
930,401163.67,3.1
931,401164.67,4.1
932,401165.67,5.1
933,401166.67,2.1
934,401167.67,3.1
935,401168.67,4.1
936,401169.67,5.1
937,401170.67,2.1
938,401171.67,3.1
939,401172.67,4.1
940,401173.67,5.1
941,401174.67,2.1
942,401175.67,3.1
943,401176.67,4.1
944,401177.67,5.1
945,401178.67,2.1
946,401179.67,3.1
1,401180.67,4.1
2,401181.67,5.1
3,401182.67,2.1
4,401183.67,3.1
5,401184.67,4.1
6,401185.67,5.1
7,401186.67,2.1
8,401187.67,3.1
9,401188.67,4.1
10,401189.67,5.1
11,401190.67,2.1
12,401191.67,3.1
13,401192.67,4.1
14,401193.67,5.1
15,401194.67,2.1
16,401195.67,3.1
17,401196.67,4.1
18,401197.67,5.1
19,401198.67,2.1
20,401199.67,3.1
21,401200.67,4.1
22,401201.67,5.1
23,401202.67,2.1
24,401203.67,3.1
25,401204.67,4.1
26,401205.67,5.1
27,401206.67,2.1
28,401207.67,3.1
29,401208.67,4.1
30,401209.67,5.1
31,401210.67,2.1
32,401211.67,3.1
33,401212.67,4.1
34,401213.67,5.1
35,401214.67,2.1
36,401215.67,3.1
37,401216.67,4.1
38,401217.67,5.1
39,401218.67,2.1
40,401219.67,3.1
41,401220.67,4.1
42,401221.67,5.1
43,401222.67,2.1
44,401223.67,3.1
45,401224.67,4.1
46,401225.67,5.1
47,401226.67,2.1
48,401227.67,3.1
49,401228.67,4.1
50,401229.67,5.1
51,401230.67,2.1
52,401231.67,3.1
53,401232.67,4.1
54,401233.67,5.1
55,401234.67,2.1
56,401235.67,3.1
57,401236.67,4.1
58,401237.67,5.1
59,401238.67,2.1
60,401239.67,3.1
61,401240.67,4.1
62,401241.67,5.1
63,401242.67,2.1
64,401243.67,3.1
65,401244.67,4.1
66,401245.67,5.1
67,401246.67,2.1
68,401247.67,3.1
69,401248.67,4.1
70,401249.67,5.1
71,401250.67,2.1
72,401251.67,3.1
73,401252.67,4.1
74,401253.67,5.1
75,401254.67,2.1
76,401255.67,3.1
77,401256.67,4.1
78,401257.67,5.1
79,401258.67,2.1
80,401259.67,3.1
81,401260.67,4.1
82,401261.67,5.1
83,401262.67,2.1
84,401263.67,3.1
85,401264.67,4.1
86,401265.67,5.1
87,401266.67,2.1
88,401267.67,3.1
89,401268.67,4.1
90,401269.67,5.1
91,401270.67,2.1
92,401271.67,3.1
93,401272.67,4.1
94,401273.67,5.1
95,401274.67,2.1
96,401275.67,3.1
97,401276.67,4.1
98,401277.67,5.1
99,401278.67,2.1
100,401279.67,3.1
101,401280.67,4.1
102,401281.67,5.1
103,401282.67,2.1
104,401283.67,3.1
105,401284.67,4.1
106,401285.67,5.1
107,401286.67,2.1
108,401287.67,3.1
109,401288.67,4.1
110,401289.67,5.1
111,401290.67,2.1
112,401291.67,3.1
113,401292.67,4.1
114,401293.67,5.1
115,401294.67,2.1
116,401295.67,3.1
117,401296.67,4.1
118,401297.67,5.1
119,401298.67,2.1
120,401299.67,3.1
121,401300.67,4.1
122,401301.67,5.1
123,401302.67,2.1
124,401303.67,3.1
125,401304.67,4.1
126,401305.67,5.1
127,401306.67,2.1
128,401307.67,3.1
129,401308.67,4.1
130,401309.67,5.1
131,401310.67,2.1
132,401311.67,3.1
133,401312.67,4.1
134,401313.67,5.1
135,401314.67,2.1
136,401315.67,3.1
137,401316.67,4.1
138,401317.67,5.1
139,401318.67,2.1
140,401319.67,3.1
141,401320.67,4.1
142,401321.67,5.1
143,401322.67,2.1
144,401323.67,3.1
145,401324.67,4.1
146,401325.67,5.1
147,401326.67,2.1
148,401327.67,3.1
149,401328.67,4.1
150,401329.67,5.1
151,401330.67,2.1
152,401331.67,3.1
153,401332.67,4.1
154,401333.67,5.1
155,401334.67,2.1
156,401335.67,3.1
157,401336.67,4.1
158,401337.67,5.1
159,401338.67,2.1
160,401339.67,3.1
161,401340.67,4.1
162,401341.67,5.1
163,401342.67,2.1
164,401343.67,3.1
165,401344.67,4.1
166,401345.67,5.1
167,401346.67,2.1
168,401347.67,3.1
169,401348.67,4.1
170,401349.67,5.1
171,401350.67,2.1
172,401351.67,3.1
173,401352.67,4.1
174,401353.67,5.1
175,401354.67,2.1
176,401355.67,3.1
177,401356.67,4.1
178,401357.67,5.1
179,401358.67,2.1
180,401359.67,3.1
181,401360.67,4.1
182,401361.67,5.1
183,401362.67,2.1
184,401363.67,3.1
185,401364.67,4.1
186,401365.67,5.1
187,401366.67,2.1
188,401367.67,3.1
189,401368.67,4.1
190,401369.67,5.1
191,401370.67,2.1
192,401371.67,3.1
193,401372.67,4.1
194,401373.67,5.1
195,401374.67,2.1
196,401375.67,3.1
197,401376.67,4.1
198,401377.67,5.1
199,401378.67,2.1
200,401379.67,3.1
201,401380.67,4.1
202,401381.67,5.1
203,401382.67,2.1
204,401383.67,3.1
205,401384.67,4.1
206,401385.67,5.1
207,401386.67,2.1
208,401387.67,3.1
209,401388.67,4.1
210,401389.67,5.1
211,401390.67,2.1
212,401391.67,3.1
213,401392.67,4.1
214,401393.67,5.1
215,401394.67,2.1
216,401395.67,3.1
217,401396.67,4.1
218,401397.67,5.1
219,401398.67,2.1
220,401399.67,3.1
221,401400.67,4.1
222,401401.67,5.1
223,401402.67,2.1
224,401403.67,3.1
225,401404.67,4.1
226,401405.67,5.1
227,401406.67,2.1
228,401407.67,3.1
229,401408.67,4.1
230,401409.67,5.1
231,401410.67,2.1
232,401411.67,3.1
233,401412.67,4.1
234,401413.67,5.1
235,401414.67,2.1
236,401415.67,3.1
237,401416.67,4.1
238,401417.67,5.1
239,401418.67,2.1
240,401419.67,3.1
241,401420.67,4.1
242,401421.67,5.1
243,401422.67,2.1
244,401423.67,3.1
245,401424.67,4.1
246,401425.67,5.1
247,401426.67,2.1
248,401427.67,3.1
249,401428.67,4.1
250,401429.67,5.1
251,401430.67,2.1
252,401431.67,3.1
253,401432.67,4.1
254,401433.67,5.1
255,401434.67,2.1
256,401435.67,3.1
257,401436.67,4.1
258,401437.67,5.1
259,401438.67,2.1
260,401439.67,3.1
261,401440.67,4.1
262,401441.67,5.1
263,401442.67,2.1
264,401443.67,3.1
265,401444.67,4.1
266,401445.67,5.1
267,401446.67,2.1
268,401447.67,3.1
269,401448.67,4.1
270,401449.67,5.1
271,401450.67,2.1
272,401451.67,3.1
273,401452.67,4.1
274,401453.67,5.1
275,401454.67,2.1
276,401455.67,3.1
277,401456.67,4.1
278,401457.67,5.1
279,401458.67,2.1
280,401459.67,3.1
281,401460.67,4.1
282,401461.67,5.1
283,401462.67,2.1
284,401463.67,3.1
285,401464.67,4.1
286,401465.67,5.1
287,401466.67,2.1
288,401467.67,3.1
289,401468.67,4.1
290,401469.67,5.1
291,401470.67,2.1
292,401471.67,3.1
293,401472.67,4.1
294,401473.67,5.1
295,401474.67,2.1
296,401475.67,3.1
297,401476.67,4.1
298,401477.67,5.1
299,401478.67,2.1
300,401479.67,3.1
301,401480.67,4.1
302,401481.67,5.1
303,401482.67,2.1
304,401483.67,3.1
305,401484.67,4.1
306,401485.67,5.1
307,401486.67,2.1
308,401487.67,3.1
309,401488.67,4.1
310,401489.67,5.1
311,401490.67,2.1
312,401491.67,3.1
313,401492.67,4.1
314,401493.67,5.1
315,401494.67,2.1
316,401495.67,3.1
317,401496.67,4.1
318,401497.67,5.1
319,401498.67,2.1
320,401499.67,3.1
321,401500.67,4.1
322,401501.67,5.1
323,401502.67,2.1
